Bairro,Latitude,Longitude
Agronomia,-30.0662,-51.1500
Anchieta,-29.9740,-51.1729
Arquipélago,-29.9924,-51.2247
Auxiliadora,-39.0228,-51.1939
Azenha,-30.0508,-51.2128
Bela Vista,-30.0326,-51.1907
Belém Novo,-30.2100,-51.1767
Belém Velho,-30.1071,-51.1529
Boa Vista,-30.0239,-51.1729
Bom Jesus,-30.0476,-51.1532
Bom Fim,-30.0301,-51.2190
Camaquã,-30.1080,-51.2430
Campo Novo,-30.1305,-51.1972
Cascata,-30.0925,-51.1759
Cavalhada,-30.0943,-51.2326
Centro,-30.0285,-51.2280
Chácara das Pedras,-30.0281,-51.1616
Cidade Baixa,-30.0402,-51.2226
Cristal,-30.0931,-51.2440
Cristo Redentor,-30.0108,-51.1592
Espírito Santo,-30.1503,-51.2177
Farrapos,-29.9791,-51.1965
Farroupilha,-30.0359,-51.2174
Floresta,-30.0242,-51.2099
Glória,-30.0735,-51.1999
Guarujá,-30.1592,-51.2200
Higienópolis,-30.1092,-51.1784
Hípica,-30.1547,-51.1995
Humaitá,-29.9819,-51.1905
Independência,-30.0284,-51.2122
Ipanema,-30.1337,-51.2309
Jardim Botânico,-30.0519,-51.1937
Jardim Carvalho,-30.0560,-51.1523
Jardim Dona Leopoldina,-30.0200,-51.1141
Jardim Floresta,-30.0002,-51.1572
Jardim Lindóia,-30.0016,-51.1506
Jardim do Salso,-30.0528,-51.1617
Lageado,-30.2093,-51.1444
Lami,-30.2212,-51.0944
Lomba do Pinheiro,-30.0943,-51.1328
Mário Quintana,-30.0335,-51.1126
Medianeira,-30.0653,-51.2124
Menino Deus,-30.0460,-51.2256
Moinhos de Vento,-30.0248,-51.2030
Mont'Serrat,-30.0259,-51.1886
Navegantes,-29.9973,-51.1977
Nonoai,-30.0911,-51.2198
Partenon,-30.0604,-51.1909
Passo D'Areia,-30.0140,-51.1755
Passo das Pedras,-30.0197,-51.1256
Pedra Redonda,-30.1290,-51.2442
Petrópolis,-30.0403,-51.1765
Ponta Grossa,-30.1808,-51.1864
Praia de Belas,-30.0583,-51.2305
Restinga,-30.1507,-51.1409
Rio Branco,-30.0335,-51.1988
Rubem Berta,-29.9947,-51.1046
Santa Maria Goretti,-30.0059,-51.1731
Santa Tereza,-30.0698,-51.2220
Santana,-30.0459,-51.2040
Santo Antônio,-30.0578,-51.2045
São Geraldo,-30.0090,-51.2018
São João,-30.0072,-51.1873
São Sebastião,-30.0055,-51.1441
Sarandi,-29.9948,-51.1299
Serraria,-30.1644,-51.2310
Teresópolis,-30.0793,-51.2091
Três Figueiras,-30.0329,-51.1763
Tristeza,-30.1098,-51.2541
Vila Assunção,-30.1013,-51.2599
Vila Ipiranga,-30.0211,-51.1517
Vila Jardim,-30.0340,-51.1513
Vila Nova,-30.1154,-51.2132
